time;ax;ay;az;I;Gain;Latitude;Longitude;Speed
98,591515;-0,9012;-1,1905;0,4462;38503,6562;-1654,3301;50,26524814;10,95162605;1,45000005
100,588518;0,3055;1,3302;2,5746;36710,5898;-1710,0416;50,26525271;10,95165169;1,44000006
101,608995;-0,242;0,7491;-0,9625;37264,7812;-1733,9181;50,2652415;10,95163695;1,45000005
102,608237;-0,7522;0,0468;-4,0115;37626,2344;-1765,7533;50,26523446;10,95161551;1,41999996
103,616;0,2142;-1,1283;-1,3527;40028,0898;-1789,6296;50,26522989;10,95159709;1,46000004
104,606108;0,7239;-2,1532;3,2632;37217,8281;-1813,5061;50,26522546;10,95157325;1,52999997
105,620855;1,7205;-1,4352;3,4082;38775,5664;-1845,3413;50,26522211;10,95155156;1,48000002
106,602405;-0,12;-0,4787;1,7843;34650,5312;-1869,2177;50,26521875;10,95152918;1,41999996
107,622844;-0,1927;0,8313;-3,0224;21464,6152;-1893,0941;50,26521651;10,95150625;1,48000002
108,619763;0,0473;-0,1913;-2,39;19409,4688;-1916,9705;50,26521213;10,95148286;1,52999997
109,63288;-0,7158;-0,7619;-0,9647;18901,1426;-1948,8057;50,26521021;10,95145719;1,54999995
110,614008;0,632;-0,8935;3,7592;18100,7051;-1972,6821;50,26520626;10,95143461;1,50999999
111,645319;-0,8945;1,2571;2,151;17291,5332;-1996,5585;50,26519815;10,9514153;1,48000002
112,683598;-0,8182;0,7757;0,6218;17809,6875;-2028,3937;50,26519106;10,95139522;1,5
113,560843;0,4957;-0,3323;-0,9946;18280,3398;-2052,27;50,26518491;10,95137438;1,52999997
114,619725;0,1796;-0,23;-1,8228;17980,5859;-2084,1052;50,26517946;10,95135387;1,57000005
115,62616;1,2153;-0,6707;-0,7592;17388,7227;-2107,9817;50,26517402;10,95133401;1,50999999
116,617762;1,2598;-1,3336;4,0245;17412,7441;-2131,8582;50,26516934;10,95131345;1,53999996
117,607117;0,6057;-0,5832;3,2765;17485,9102;-2163,6934;50,26516813;10,95129353;1,58000004
118,556464;0,3342;-0,0422;-2,7597;17958,1992;-2187,5696;50,2651657;10,95127492;1,49000001
119,600146;-0,1204;-0,2374;-1,7969;18514,5742;-2211,446;50,26516089;10,95125673;1,59000003
120,626049;0,3322;-0,2597;-1,1781;17873,0234;-2243,2812;50,26515649;10,95123598;1,60000002
121,535745;-0,443;1,436;2,1004;17278,4277;-2267,1577;50,2651515;10,95121669;1,50999999
122,621923;-0,2562;0,4291;3,1179;16259,0469;-2291,0342;50,26514591;10,95119693;1,46000004
123,623533;-0,6752;1,1806;2,3425;15407,2861;-2322,8694;50,265141;10,95117599;1,5
124,610763;-0,0435;0,6427;-4,6183;15088,4209;-2346,7456;50,26513811;10,95115395;1,50999999
125,571909;1,2787;-1,2568;1,6764;14889,1318;-2370,6221;50,26513797;10,95113224;1,51999998
143,257574;-0,7599;-0,261;2,202;4878,7573;-2744,6858;50,26513781;10,95109418;1,41999996
145,612191;0,0738;-1,1813;3,5398;5787,8472;-2808,3562;50,26493721;10,9502104;1,46000004
146,623283;-1,2799;1,6228;2,5444;5393,6362;-2840,1914;50,26491801;10,95021832;1,37
147,607499;-0,0771;0,5089;-4,0308;5050,7476;-2864,0676;50,26489007;10,95022341;1,47000003
148,591897;0,4869;-0,5348;-3,4035;4909,3325;-2887,9441;50,2649121;10,95020887;1,42999995
150,662561;0,334;-0,4647;3,5717;4883,125;-2943,6558;50,26491795;10,95018643;1,13999999
151,609643;-0,1589;0,6629;0,1692;4698,0312;-2967,5322;50,26492052;10,95016876;1,37
152,657931;0,5318;-0,0233;-3,6893;4575,1812;-2999,3674;50,26492076;10,95015352;1,11000001
153,651052;-1,6473;-1,1034;-0,7779;4865,1074;-3023,2437;50,26492598;10,95013445;1,29999995
154,665137;-0,4607;1,4842;3,9508;4916,9775;-3055,0789;50,26492417;10,95011454;1,28999996
155,645637;-0,4877;1,3262;-2,0791;5258,2275;-3078,9553;50,26491888;10,95009849;1,21000004
156,668696;-0,3737;1,0299;-3,2392;5693,3896;-3102,8318;50,26491705;10,95008114;1,21000004
157,646775;1,8962;-1,4105;0,8971;6304,3647;-3134,667;50,26490872;10,95006211;1,37
158,666442;2,2284;-1,6518;3,2105;7668,8198;-3158,5432;50,26489629;10,95004627;1,22000003
159,596029;-0,1921;0,3312;1,5354;7886,1284;-3182,4197;50,26488328;10,95002624;1,28999996
160,612988;-0,6039;-0,046;-3,7101;8317,4688;-3206,2961;50,26487013;10,95000575;1,35000002
161,653221;-0,3023;-0,3832;-1,9892;9779,1123;-3238,1313;50,26485482;10,94998649;1,40999997
162,673636;-0,2179;-0,5251;2,1807;10117,6318;-3262,0078;50,26484781;10,94996497;1,35000002
163,662113;-1,8712;1,1591;3,4447;10091,4248;-3293,843;50,26484081;10,94994272;1,44000006
164,609459;-0,2253;1,3157;-2,6955;10463,251;-3317,7192;50,26482914;10,94992876;1,35000002
165,59758;-0,0418;1,4416;-3,9241;10103,9834;-3341,5957;50,26482165;10,94991541;1,37
166,674119;2,3838;-1,7227;0,8227;10260,6846;-3373,4309;50,26481507;10,94989836;1,38
167,661454;1,5775;-0,5329;2,0326;11055,6621;-3397,3074;50,26480883;10,94987747;1,46000004
168,645443;-1,4134;0,6947;-2,5231;11464,6162;-3421,1838;50,26480357;10,94985812;1,36000001
169,663438;-0,1103;-0,302;-3,6016;11371,25;-3453,019;50,26479843;10,94983885;1,37
170,647785;-2,9595;-1,5642;0,2187;14462,1602;-3476,8953;50,26479436;10,94981453;1,46000004
171,597972;-0,008;-0,1837;5,2316;12554,9785;-3500,7717;50,26478818;10,94979278;1,38999999
172,647338;-0,7615;1,0409;1,7251;10604,1201;-3532,6069;50,264782;10,94977381;1,40999997
179,991035;1,5979;-1,9758;2,2878;8012,7998;-3707,7004;50,26477723;10,94975417;1,39999998
181,006642;0,9343;1,0074;3,3306;7788,3936;-3739,5356;50,26466567;10,94959459;1,82000005
181,408584;-1,3014;0,7762;-0,3446;7606,5747;-3747,4946;50,26464815;10,94962712;1,90999997
182,463767;-1,5287;0,7463;-2,914;7354,8696;-3779,3298;50,26463151;10,94963788;1,95000005
183,45303;0,0575;-0,8785;-1,9839;7137,561;-3803,2061;50,2646198;10,94963391;1,49000001
184,447357;-0,2889;-1,6465;3,1017;7431,856;-3827,0825;50,26460559;10,94963792;1,50999999
185,387593;-0,3055;1,3008;-0,0256;7941,2734;-3858,9177;50,26458777;10,94964466;1,37
186,405167;-0,5091;0,7701;-2,5718;8343,6777;-3882,7942;50,26456891;10,94965986;1,45000005
187,408285;0,3815;-1,1379;-0,133;5986,5923;-3906,6704;50,26455773;10,94965577;1,42999995
188,424749;1,2958;-0,0027;2,4699;6997,7847;-3938,5056;50,26454598;10,94965104;1,38999999
189,403299;0,2344;1,5083;0,803;7684,1074;-3962,3821;50,2645386;10,94964041;1,39999998
190,423906;-1,2832;0,7151;-1,3555;6728,606;-3986,2585;50,26453016;10,94963179;1,45000005
191,421343;-0,8861;-1,2517;-2,2376;6625,9585;-4018,0938;50,26452207;10,94962142;1,40999997
192,430252;-0,5716;-2,145;2,2509;7657,3535;-4041,9702;50,26451363;10,94961576;1,41999996
194,418413;-0,3529;0,6615;-0,4869;8793,582;-4097,6816;50,26450027;10,94960592;1,38
196,40379;0,916;-2,038;0,5826;7682,4697;-4145,4346;50,26448566;10,94959829;1,42999995
198,460357;2,1971;0,3789;2,4599;8520,5811;-4201,146;50,26446667;10,94959676;1,39999998
199,410908;0,1246;-0,2769;-3,4604;8245,3965;-4225,0225;50,26445633;10,94959232;1,39999998
200,395624;-1,7887;-1,0055;0,3951;8762,46;-4256,8579;50,26444622;10,94959045;1,38999999
201,415152;-0,3791;-0,9212;4,6454;8785,3906;-4280,7344;50,26443433;10,94958856;1,38999999
202,471146;0,1356;-0,8162;3,323;9411,1084;-4304,6104;50,26442296;10,94958783;1,38
203,42232;0,2996;1,2002;-1,2937;9882,8525;-4336,4458;50,2644104;10,94959511;1,41999996
204,40888;-0,5889;-0,0118;-4,2398;8463,251;-4360,3223;50,26439762;10,94960127;1,39999998
205,430017;1,1345;-1,2707;1,885;9044,7412;-4384,1987;50,2643847;10,94961189;1,41999996
206,414877;0,7292;-0,4147;3,3627;10063,5781;-4416,0337;50,26437136;10,94961859;1,40999997
