time;ax;ay;az;I;Gain;Latitude;Longitude;Speed
0,453024;-0,085;0,1014;0,0527;28532,5918;61,1873;50,26523786;10,9535381;0
0,45721;-0,085;0,1014;0,0527;28532,5918;61,1873;50,26523786;10,9535381;0
0,46132;-0,1561;0,0958;0,0471;28532,5918;61,1873;50,26523786;10,9535381;0
0,518474;-0,1561;0,0958;0,0471;28532,5918;61,1873;50,26523786;10,9535381;0
0,520955;-0,1561;0,0958;0,0471;28532,5918;61,1873;50,26523783;10,95353808;0
0,524312;-0,1757;0,0403;0,0076;28532,5918;61,1873;50,26523783;10,95353808;0
0,585295;-0,1757;0,0403;0,0076;28532,5918;61,1873;50,26523783;10,95353808;0
0,589055;-0,1757;0,0403;0,0076;28532,5918;61,1873;50,26523783;10,95353808;0
0,592637;-0,2582;0,001;0,0941;28532,5918;61,1873;50,26523783;10,95353808;0
0,650185;-0,2582;0,001;0,0941;28532,5918;61,1873;50,26523783;10,95353808;0
0,653951;-0,2582;0,001;0,0941;28532,5918;61,1873;50,26523783;10,95353808;0
0,656947;-0,4189;-0,0484;0,1703;28532,5918;61,1873;50,26523783;10,95353808;0
0,694974;-0,4189;-0,0484;0,1703;28532,5918;61,1873;50,26523783;10,95353808;0
0,699027;-0,4189;-0,0484;0,1703;28532,5918;61,1873;50,26523783;10,95353808;0
0,702361;-0,5527;0,0716;-0,0765;28532,5918;61,1873;50,26523783;10,95353808;0
0,750984;-0,5527;0,0716;-0,0765;28532,5918;65,9315;50,26523783;10,95353808;0
0,753254;-0,5527;0,0716;-0,0765;28532,5918;65,9315;50,26523783;10,95353808;0
0,754824;-0,2612;0,1913;-0,2174;28532,5918;65,9315;50,26523783;10,95353808;0
0,770769;-0,2612;0,1913;-0,2174;28862,9219;65,9315;50,26523783;10,95353808;0
0,816751;-0,2612;0,1913;-0,2174;28862,9219;65,9315;50,26523783;10,95353808;0
0,8201;-0,2612;0,1913;-0,2174;28862,9219;65,9315;50,26523783;10,95353808;0
0,822803;0,2451;0,5014;-0,6031;28862,9219;65,9315;50,26523783;10,95353808;0
0,882056;0,2451;0,5014;-0,6031;28862,9219;65,9315;50,26523783;10,95353808;0
0,885375;0,2451;0,5014;-0,6031;28862,9219;65,9315;50,26523783;10,95353808;0
0,888357;0,4179;0,5717;-0,5474;28862,9219;65,9315;50,26523783;10,95353808;0
0,948397;0,4179;0,5717;-0,5474;28862,9219;65,9315;50,26523783;10,95353808;0
0,950909;0,4179;0,5717;-0,5474;28862,9219;65,9315;50,26523783;10,95353808;0
0,952629;-0,0201;0,7003;-0,1713;28862,9219;65,9315;50,26523783;10,95353808;0
0,975373;-0,0201;0,7003;-0,1713;28359,5117;65,9315;50,26523783;10,95353808;0
1,013202;-0,2772;0,3657;0,3861;28359,5117;65,9315;50,26523783;10,95353808;0
1,016128;-0,2772;0,3657;0,3861;28359,5117;65,9315;50,26523783;10,95353808;0
1,018185;-0,2772;0,3657;0,3861;28359,5117;65,9315;50,26523783;10,95353808;0
1,08005;-0,2772;0,3657;0,3861;27628,416;66,6173;50,26523783;10,95353808;0
1,085802;-0,2772;0,3657;0,3861;27628,416;66,6173;50,26523783;10,95353808;0
1,088953;-0,2772;0,3657;0,3861;27628,416;66,6173;50,26523783;10,95353808;0
1,092722;-0,787;0,616;-0,1258;27628,416;66,6173;50,26523783;10,95353808;0
1,143806;-0,787;0,616;-0,1258;27628,416;66,6173;50,26523783;10,95353808;0
1,145628;-0,787;0,616;-0,1258;27628,416;66,6173;50,26523783;10,95353808;0
1,147397;-0,8378;0,928;-0,7186;27628,416;66,6173;50,26523783;10,95353808;0
1,184534;-0,8378;0,928;-0,7186;26985,7715;66,6173;50,26523783;10,95353808;0
1,211138;-0,8378;0,928;-0,7186;26985,7715;66,6173;50,26523783;10,95353808;0
1,214244;-0,8378;0,928;-0,7186;26985,7715;66,6173;50,26523783;10,95353808;0
